CollectionCode	HMS	StructuredFormula	StructureType	Title	Reference	FormulaUnitsPerCell	Temperature	PublicationYear	Quality	
41673	I 1 2/a 1	Si O2		Structure and stability of several high-pressure cristalline polymorphs of silica	Physical Review B: Condensed Matter and Materials Physics (1995) 51,  p. 16392-16395	12	293.00	1995	-1	
41995	P a -3	Fe S2	Pyrite#FeS2(cP12)	Density-functional calculation of the electronic structure and equilibrium geometry of iron pyrite (Fe S2)	Physical Review B: Condensed Matter and Materials Physics (1994) 50,  p. 8214-8220	4	293.00	1994	-1	
41996	P a -3	Ru S2	Pyrite#FeS2(cP12)	Density-functional calculation of the electronic structure and equilibrium geometry of iron pyrite (Fe S2)	Physical Review B: Condensed Matter and Materials Physics (1994) 50,  p. 8214-8220	4	293.00	1994	-1	
44093	P 62 2 2	Si O2	Quartz(high)#SiO2	First-principles study of crystalline silica	Physical Review B: Condensed Matter and Materials Physics (1994) 49,  p. 12528-12534	3	293.00	1994	-1	
44094	P 41 21 2	Si O2	α−Cristobalite#SiO2	First-principles study of crystalline silica	Physical Review B: Condensed Matter and Materials Physics (1994) 49,  p. 12528-12534	4	293.00	1994	-1	
44095	F d -3 m S	Si O2	SiO2(cF24)	First-principles study of crystalline silica	Physical Review B: Condensed Matter and Materials Physics (1994) 49,  p. 12528-12534	8	293.00	1994	-1	
44096	P 42/m n m	Si O2	Rutile#TiO2	First-principles study of crystalline silica	Physical Review B: Condensed Matter and Materials Physics (1994) 49,  p. 12528-12534	2	293.00	1994	-1	
44097	F m -3 m	Y H2	Fluorite#CaF2	Energetics and lattice contraction of beta-phase Y H2+x	Physical Review B: Condensed Matter and Materials Physics (1994) 49,  p. 10731-10734	4	293.00	1994	-1	
44268	P 41 21 2	Si O2	α−Cristobalite#SiO2	Structural properties of nine silica polymorphs	Physical Review B: Condensed Matter and Materials Physics (1992) 46,  p. 1-13	4	293.00	1992	-1	
44269	P 21 3	Si O2	SnWO4	Structural properties of nine silica polymorphs	Physical Review B: Condensed Matter and Materials Physics (1992) 46,  p. 1-13	8	293.00	1992	-1	
44270	P 63/m m c	Si O2	Tridymite#SiO2	Structural properties of nine silica polymorphs	Physical Review B: Condensed Matter and Materials Physics (1992) 46,  p. 1-13	4	293.00	1992	-1	
44271	F m -3 m	Si O2	Fluorite#CaF2	Structural properties of nine silica polymorphs	Physical Review B: Condensed Matter and Materials Physics (1992) 46,  p. 1-13	4	293.00	1992	-1	
51237	P 4/m m m	Ca F2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	1	293.00	1998	-1	
51238	P m n 21	Ca Cl2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	2	293.00	1998	-1	
51239	P m c 21	Ca F2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	2	293.00	1998	-1	
51240	C 1 2/c 1	Mg F2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	4	293.00	1998	-1	
51242	A m m 2	Mg F2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	2	293.00	1998	-1	
51243	P -1	Mg F2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	2	293.00	1998	-1	
51244	P m m a	Mg Cl2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	2	293.00	1998	-1	
51245	P -4 m 2	Mg Cl2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	1	293.00	1998	-1	
51246	A m a 2	Mg Cl2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	4	293.00	1998	-1	
51247	P -1	Mg Cl2		Determination of structure candidates of simple crystalline A B2 systems	Journal of Solid State Chemistry (1998) 136,  p. 233-246	2	293.00	1998	-1	
53601	P 42/m n m	Ti O2	Rutile#TiO2	Molecular dynamics study of the Ti O2 (rutile) and Ti O2-Zr O2 systems	Acta Crystallographica, Section B: Structural Science (1993) 49,  p. 781-783	2	300.00	1993	-1	
